chr	start	end	strand	gene_ID	gene_type	gene_short_name
chr1	6119187	6120269	-	ENSMUSG00000103090	processed_pseudogene	Gm19214
chr1	6234353	6285517	-	ENSMUSG00000090031	lncRNA	4732440D04Rik
chr1	6276421	6346872	+	ENSMUSG00000025907	protein_coding	Rb1cc1
chr1	6429442	6464955	+	ENSMUSG00000087247	protein_coding	Alkal1
chr1	6447707	6453291	-	ENSMUSG00000143943	lncRNA	ENSMUSG00000143943
chr1	6450618	6451256	+	ENSMUSG00000103355	processed_pseudogene	Gm2147
chr1	6452858	6453330	-	ENSMUSG00000102706	transcribed_processed_pseudogene	Gm7417
chr1	6476015	6499052	-	ENSMUSG00000141243	lncRNA	ENSMUSG00000141243
chr1	6499879	6511520	-	ENSMUSG00000103845	processed_pseudogene	Gm19026
chr1	6557455	6931164	+	ENSMUSG00000033740	protein_coding	St18
chr1	6931461	6934375	-	ENSMUSG00000103329	TEC	Gm42492
chr1	6980784	6981446	+	ENSMUSG00000104385	processed_pseudogene	Gm7449
chr1	6986783	6993812	+	ENSMUSG00000102135	processed_pseudogene	Gm37108
chr1	6999983	7000012	+	ENSMUSG00000103282	processed_pseudogene	Gm37275
chr1	7068441	7068765	+	ENSMUSG00000102534	processed_pseudogene	Gm37225
chr1	7083986	7084144	+	ENSMUSG00000102213	processed_pseudogene	Gm37489
chr1	7106139	7107441	+	ENSMUSG00000103629	processed_pseudogene	Gm5694
chr1	7157896	7159234	-	ENSMUSG00000120372	lncRNA	Gm57122
chr1	7159144	7243852	+	ENSMUSG00000051285	protein_coding	Pcmtd1
chr1	7194980	7200090	-	ENSMUSG00000138092	lncRNA	ENSMUSG00000138092
chr1	7206423	7206810	-	ENSMUSG00000098201	processed_pseudogene	Gm26983
chr1	7218334	7222361	+	ENSMUSG00000103509	TEC	Gm38372
chr1	7244784	7277977	-	ENSMUSG00000126455	lncRNA	ENSMUSG00000126455
chr1	7247963	7249261	+	ENSMUSG00000048538	processed_pseudogene	Gm9826
chr1	7259966	7260143	-	ENSMUSG00000103709	processed_pseudogene	Nras-ps2
chr1	7276788	7278199	+	ENSMUSG00000126493	lncRNA	ENSMUSG00000126493
chr1	7292187	7831986	+	ENSMUSG00000144281	unitary_pseudogene	ENSMUSG00000144281
chr1	7336027	7336156	+	ENSMUSG00000077244	snoRNA	Gm23274
chr1	7384854	7468544	-	ENSMUSG00000097797	lncRNA	Gm26901
chr1	7385675	7386686	+	ENSMUSG00000102768	processed_pseudogene	Gm19002
chr1	7480903	7482217	+	ENSMUSG00000103498	processed_pseudogene	Gm18984
chr1	7568192	7588373	+	ENSMUSG00000103067	lncRNA	Gm30414
chr1	7661870	7662155	+	ENSMUSG00000102320	processed_pseudogene	Gm37791
chr1	7667603	7669697	+	ENSMUSG00000104226	processed_pseudogene	Gm7470
chr1	7734305	7735185	+	ENSMUSG00000103903	processed_pseudogene	Rps2-ps2
chr1	7799085	7800789	-	ENSMUSG00000103557	processed_pseudogene	Gm38216
chr1	8159976	8192800	-	ENSMUSG00000132588	lncRNA	ENSMUSG00000132588
chr1	8359885	8369127	+	ENSMUSG00000135709	lncRNA	ENSMUSG00000135709
chr1	8392062	8392773	-	ENSMUSG00000135722	lncRNA	ENSMUSG00000135722
chr1	8431699	9370103	-	ENSMUSG00000025909	protein_coding	Sntg1
chr1	8521184	8523715	-	ENSMUSG00000102647	TEC	Gm38024
chr1	8538650	8539049	-	ENSMUSG00000086235	processed_pseudogene	Gm16284
chr1	8547713	8550003	+	ENSMUSG00000123533	lncRNA	ENSMUSG00000123533
chr1	8598004	8601537	-	ENSMUSG00000102253	TEC	Gm38259
chr1	8658839	8658948	-	ENSMUSG00002074990	miRNA	Gm54704
chr1	8713920	8715083	-	ENSMUSG00000103884	TEC	Gm37005
chr1	8862147	8862386	-	ENSMUSG00000084353	processed_pseudogene	Gm15452
chr1	8886066	8886263	+	ENSMUSG00000103933	processed_pseudogene	Gm36964
chr1	8886362	8886471	+	ENSMUSG00002075967	miRNA	Gm54706
chr1	8926152	8926491	-	ENSMUSG00000086195	processed_pseudogene	Gm6152
chr1	8926987	8927326	+	ENSMUSG00000104504	processed_pseudogene	Gm7445
chr1	9006506	9012029	+	ENSMUSG00000123491	lncRNA	ENSMUSG00000123491
chr1	9033220	9033845	-	ENSMUSG00000066693	processed_pseudogene	Gm7493
chr1	9261292	9262341	-	ENSMUSG00000102316	TEC	Gm37629
chr1	9328842	9329359	-	ENSMUSG00000103819	processed_pseudogene	Gm38008
chr1	9357147	9360405	+	ENSMUSG00000102871	TEC	Gm37143
chr1	9466998	9468912	-	ENSMUSG00000101571	processed_pseudogene	Gm6187
chr1	9507235	9508596	+	ENSMUSG00000135814	lncRNA	ENSMUSG00000135814
chr1	9509966	9510601	-	ENSMUSG00000104428	processed_pseudogene	Gm18299
chr1	9520804	9521973	+	ENSMUSG00000102272	processed_pseudogene	Gm7512
chr1	9528895	9528997	+	ENSMUSG00000065625	snRNA	Gm24765
chr1	9568871	9707225	-	ENSMUSG00000079671	lncRNA	2610203C22Rik
chr1	9569563	9571747	-	ENSMUSG00000103411	processed_pseudogene	Gm18300
chr1	9615633	9617680	+	ENSMUSG00000061024	protein_coding	Rrs1
chr1	9618173	9650898	+	ENSMUSG00000025911	protein_coding	Adhfe1
chr1	9644773	9645874	+	ENSMUSG00000081441	processed_pseudogene	Gm6161
chr1	9671424	9697368	+	ENSMUSG00000067879	protein_coding	Vxn
chr1	9709480	9710807	-	ENSMUSG00000099827	lncRNA	Gm29520
chr1	9737640	9770434	-	ENSMUSG00000025912	protein_coding	Mybl1
chr1	9770772	9772671	+	ENSMUSG00000123215	lncRNA	ENSMUSG00000123215
chr1	9788847	9818607	-	ENSMUSG00000045210	protein_coding	Vcpip1
chr1	9817072	9862153	+	ENSMUSG00000097893	lncRNA	1700034P13Rik
chr1	9832546	9839302	-	ENSMUSG00000128816	lncRNA	ENSMUSG00000128816
chr1	9868332	9971070	+	ENSMUSG00000025915	protein_coding	Sgk3
chr1	9872422	9872778	-	ENSMUSG00000046334	processed_pseudogene	Gm6195
chr1	9904723	9904827	-	ENSMUSG00002075801	snRNA	Gm54812
chr1	9926809	10014504	-	ENSMUSG00000098234	lncRNA	Snhg6
chr1	9978863	10012310	+	ENSMUSG00000046101	protein_coding	Mcmdc2
chr1	10012688	10012774	-	ENSMUSG00000093178	snoRNA	Snord87
chr1	10030388	10038157	-	ENSMUSG00000099032	protein_coding	Tcf24
chr1	10037539	10038912	+	ENSMUSG00000104025	TEC	E330040D14Rik
chr1	10038849	10079361	-	ENSMUSG00000025916	protein_coding	Ppp1r42
chr1	10052612	10062591	+	ENSMUSG00000087199	lncRNA	Gm15818
chr1	10060094	10062168	-	ENSMUSG00000121270	lncRNA	Gm57177
chr1	10080039	10080142	-	ENSMUSG00000119658	snRNA	Gm24674
chr1	10094826	10108393	-	ENSMUSG00000025917	protein_coding	Cops5
chr1	10108212	10206993	+	ENSMUSG00000056763	protein_coding	Cspp1
chr1	10113063	10128198	-	ENSMUSG00000137212	lncRNA	ENSMUSG00000137212
chr1	10127250	10128169	-	ENSMUSG00000102356	TEC	1700047N06Rik
chr1	10207796	10302895	-	ENSMUSG00000067851	protein_coding	Arfgef1
chr1	10236764	10237003	+	ENSMUSG00002076532	misc_RNA	Gm54899
chr1	10267306	10269027	-	ENSMUSG00000102556	TEC	Gm37569
chr1	10303484	10306330	+	ENSMUSG00000127523	lncRNA	ENSMUSG00000127523
chr1	10353149	10364968	-	ENSMUSG00000123573	lncRNA	ENSMUSG00000123573
chr1	10394945	10790170	-	ENSMUSG00000042501	protein_coding	Cpa6
chr1	10519470	10522214	-	ENSMUSG00000103810	TEC	Gm38005
chr1	10548120	10638330	+	ENSMUSG00000130625	lncRNA	ENSMUSG00000130625
chr1	10624323	10625778	-	ENSMUSG00000083422	processed_pseudogene	Gm15604
chr1	10625779	10625885	-	ENSMUSG00000119312	snRNA	Gm25253
chr1	10684027	10765759	-	ENSMUSG00000137678	lncRNA	ENSMUSG00000137678
chr1	10765348	10765839	+	ENSMUSG00000081417	processed_pseudogene	Gm15603
chr1	10852681	10854602	-	ENSMUSG00000103448	TEC	Gm37133
chr1	10875505	10876746	+	ENSMUSG00000100212	processed_pseudogene	Gm5522
chr1	10924789	10927623	-	ENSMUSG00000125508	lncRNA	ENSMUSG00000125508
chr1	10938912	10939670	+	ENSMUSG00000100648	processed_pseudogene	Gm28659
chr1	10950511	10959058	+	ENSMUSG00000130062	lncRNA	ENSMUSG00000130062
chr1	10991894	10991984	+	ENSMUSG00002076499	snoRNA	Gm54912
chr1	11063689	11373905	+	ENSMUSG00000048960	protein_coding	Prex2
chr1	11079866	11097138	+	ENSMUSG00000127757	lncRNA	ENSMUSG00000127757
chr1	11091428	11094036	-	ENSMUSG00000127802	lncRNA	ENSMUSG00000127802
chr1	11204335	11204462	-	ENSMUSG00000077318	snoRNA	Gm24173
chr1	11293790	11294398	-	ENSMUSG00000101827	processed_pseudogene	Gm28686
chr1	11394841	11422796	+	ENSMUSG00000122491	lncRNA	ENSMUSG00000122491
chr1	11434150	11437188	-	ENSMUSG00000103494	TEC	Gm37410
chr1	11456071	11465776	-	ENSMUSG00000143092	lncRNA	ENSMUSG00000143092
chr1	11484329	12046125	+	ENSMUSG00000057715	protein_coding	A830018L16Rik
chr1	11487142	11489612	+	ENSMUSG00000103825	TEC	Gm38178
chr1	11678363	11678624	-	ENSMUSG00000099845	processed_pseudogene	Gm29273
chr1	11689686	11694926	-	ENSMUSG00000139014	lncRNA	ENSMUSG00000139014
chr1	11761179	11768308	+	ENSMUSG00000138973	lncRNA	ENSMUSG00000138973
chr1	11774431	11776574	+	ENSMUSG00000103561	TEC	Gm38069
chr1	12098640	12131184	-	ENSMUSG00000134440	lncRNA	ENSMUSG00000134440
chr1	12191184	12192056	+	ENSMUSG00000101610	processed_pseudogene	Gm7560
chr1	12303632	12385741	+	ENSMUSG00000141382	lncRNA	ENSMUSG00000141382
chr1	12445160	12445266	+	ENSMUSG00000118923	snRNA	Gm22633
chr1	12496210	12496330	+	ENSMUSG00000098555	miRNA	Mir6341
chr1	12535206	12591166	-	ENSMUSG00000143719	lncRNA	ENSMUSG00000143719
chr1	12635801	12636607	+	ENSMUSG00000097628	processed_pseudogene	Gm2383
chr1	12726091	12726777	+	ENSMUSG00000098163	processed_pseudogene	Gm6216
chr1	12737787	12760283	+	ENSMUSG00000097171	lncRNA	Gm17644
chr1	12740548	12747658	-	ENSMUSG00000101314	lncRNA	Gm29663
chr1	12762501	12931416	+	ENSMUSG00000016918	protein_coding	Sulf1
chr1	12867469	12884627	-	ENSMUSG00000127288	lncRNA	ENSMUSG00000127288
chr1	12936773	13062874	-	ENSMUSG00000025938	protein_coding	Slco5a1
chr1	13129625	13130175	-	ENSMUSG00000104518	TEC	Gm37162
chr1	13131913	13176156	-	ENSMUSG00000141815	lncRNA	ENSMUSG00000141815
chr1	13132249	13132569	+	ENSMUSG00000069620	processed_pseudogene	Gm5250
chr1	13139045	13175975	+	ENSMUSG00000099498	lncRNA	Gm29283
chr1	13183681	13197387	-	ENSMUSG00000042414	protein_coding	Prdm14
chr1	13209329	13444307	-	ENSMUSG00000005886	protein_coding	Ncoa2
chr1	13247686	13249938	-	ENSMUSG00000103506	TEC	Gm38376
chr1	13305033	13306658	-	ENSMUSG00000103495	TEC	Gm37409
chr1	13332422	13332503	+	ENSMUSG00002076346	miRNA	Gm55160
chr1	13360036	13360730	-	ENSMUSG00000102639	TEC	Gm38223
chr1	13367260	13369131	-	ENSMUSG00000104170	TEC	Gm37702
chr1	13395154	13404725	+	ENSMUSG00000134412	lncRNA	ENSMUSG00000134412
chr1	13404722	13404833	-	ENSMUSG00000087782	snRNA	Gm23169
chr1	13413787	13418428	-	ENSMUSG00000103085	TEC	Gm38120
chr1	13424707	13426954	-	ENSMUSG00000102664	TEC	Gm38380
chr1	13431037	13437664	+	ENSMUSG00000134452	lncRNA	ENSMUSG00000134452
chr1	13442674	13458734	+	ENSMUSG00000101476	lncRNA	Gm29570
chr1	13444452	13444941	-	ENSMUSG00000134491	lncRNA	ENSMUSG00000134491
chr1	13462630	13538628	-	ENSMUSG00000122424	lncRNA	ENSMUSG00000122424
chr1	13477236	13477879	-	ENSMUSG00000101171	processed_pseudogene	Gm7593
chr1	13558127	13564775	+	ENSMUSG00000126000	lncRNA	ENSMUSG00000126000
chr1	13634922	13660134	-	ENSMUSG00000025935	protein_coding	Tram1
chr1	13659704	13667319	+	ENSMUSG00000120948	lncRNA	Gm57152
chr1	13660930	13662293	-	ENSMUSG00000131318	lncRNA	ENSMUSG00000131318
chr1	13693554	13730770	-	ENSMUSG00000025937	protein_coding	Lactb2
chr1	13711707	13712972	-	ENSMUSG00000102982	TEC	Gm38319
chr1	13738995	13771947	+	ENSMUSG00000067813	protein_coding	Xkr9
chr1	13844558	13844688	-	ENSMUSG00000077368	snoRNA	Gm26273
chr1	13856107	13857103	-	ENSMUSG00000097711	processed_pseudogene	Gm5523
chr1	13916783	14211751	+	ENSMUSG00000134219	lncRNA	ENSMUSG00000134219
chr1	13917095	13919343	-	ENSMUSG00000102166	TEC	Gm36947
chr1	14002602	14002909	+	ENSMUSG00002075174	misc_RNA	Gm55173
chr1	14179439	14183043	-	ENSMUSG00000104209	TEC	Gm37400
chr1	14239178	14380459	-	ENSMUSG00000025932	protein_coding	Eya1
chr1	14252802	14252901	+	ENSMUSG00002075819	miRNA	Gm55247
chr1	14325776	14326214	-	ENSMUSG00000102588	TEC	Gm37444
chr1	14482531	14535739	+	ENSMUSG00000127312	lncRNA	ENSMUSG00000127312
chr1	14483749	14558046	-	ENSMUSG00000127278	lncRNA	ENSMUSG00000127278
chr1	14626066	14631236	+	ENSMUSG00000140763	lncRNA	ENSMUSG00000140763
chr1	14702169	14704953	-	ENSMUSG00000140464	lncRNA	ENSMUSG00000140464
chr1	14803588	14809409	+	ENSMUSG00000134469	lncRNA	ENSMUSG00000134469
chr1	14823161	14866273	+	ENSMUSG00000054493	lncRNA	Gm9947
chr1	14823570	14826216	-	ENSMUSG00000025930	protein_coding	Msc
chr1	14858869	14863189	+	ENSMUSG00000103492	TEC	Gm37412
chr1	14910093	14910380	-	ENSMUSG00000081201	processed_pseudogene	Smt3h2-ps4
chr1	14935296	14936189	+	ENSMUSG00000082193	processed_pseudogene	Rpl5-ps1
chr1	14942872	14989086	-	ENSMUSG00000032769	protein_coding	Trpa1
chr1	15089264	15089383	-	ENSMUSG00000088159	snoRNA	Gm26345
chr1	15272042	15321629	+	ENSMUSG00000125466	lncRNA	ENSMUSG00000125466
chr1	15339026	15340021	-	ENSMUSG00000073737	processed_pseudogene	Gm10566
chr1	15357478	15793974	+	ENSMUSG00000092083	protein_coding	Kcnb2
chr1	15401852	15436255	-	ENSMUSG00000128216	lncRNA	ENSMUSG00000128216
chr1	15434526	15436058	+	ENSMUSG00000102937	TEC	Gm38116
chr1	15626473	15628561	+	ENSMUSG00000104149	TEC	Gm37138
chr1	15640786	15681020	-	ENSMUSG00000137925	lncRNA	ENSMUSG00000137925
chr1	15756159	15756270	-	ENSMUSG00000088829	snoRNA	Gm25227
chr1	15785607	15861946	-	ENSMUSG00000132707	lncRNA	ENSMUSG00000132707
chr1	15828056	15828187	+	ENSMUSG00000077377	snoRNA	Gm25168
chr1	15830346	15830892	-	ENSMUSG00000101652	processed_pseudogene	Gm6060
chr1	15830985	15831084	+	ENSMUSG00000100814	processed_pseudogene	Gm28669
chr1	15858637	15867509	+	ENSMUSG00000132745	lncRNA	ENSMUSG00000132745
chr1	15863420	15864828	-	ENSMUSG00000132786	lncRNA	ENSMUSG00000132786
chr1	15875870	15914276	+	ENSMUSG00000025925	protein_coding	Terf1
chr1	15923555	15926723	+	ENSMUSG00000104379	TEC	Gm37509
chr1	15924086	15962946	-	ENSMUSG00000032719	protein_coding	Sbspon
chr1	15949754	15950056	+	ENSMUSG00002076565	misc_RNA	Gm55274
chr1	16065155	16096748	-	ENSMUSG00000137819	lncRNA	ENSMUSG00000137819
chr1	16123559	16124111	+	ENSMUSG00000100652	processed_pseudogene	Gm7634
chr1	16136203	16163549	-	ENSMUSG00000067795	protein_coding	4930444P10Rik
chr1	16163557	16172645	+	ENSMUSG00000136711	lncRNA	ENSMUSG00000136711
chr1	16171519	16174886	-	ENSMUSG00000043716	protein_coding	Rpl7
chr1	16175998	16203958	+	ENSMUSG00000025921	protein_coding	Rdh10
chr1	16232522	16248784	+	ENSMUSG00000132226	lncRNA	ENSMUSG00000132226
chr1	16278421	16280741	-	ENSMUSG00000104165	TEC	Gm38249
chr1	16298730	16314286	+	ENSMUSG00000100868	lncRNA	Gm28095
chr1	16298898	16590336	-	ENSMUSG00000025920	protein_coding	Stau2
chr1	16323764	16413611	+	ENSMUSG00000089982	lncRNA	Gm7568
chr1	16611014	16689713	-	ENSMUSG00000025939	protein_coding	Ube2w
chr1	16688784	16691763	+	ENSMUSG00000102457	TEC	Gm38342
chr1	16711949	16727266	-	ENSMUSG00000079658	protein_coding	Eloc
chr1	16727154	16732505	+	ENSMUSG00000097744	lncRNA	D030040B21Rik
chr1	16733204	16733886	-	ENSMUSG00000100959	processed_pseudogene	Idi1-ps5
chr1	16735431	16748499	+	ENSMUSG00000025940	protein_coding	Tmem70
chr1	16750765	16759243	-	ENSMUSG00000125087	lncRNA	ENSMUSG00000125087
chr1	16758275	16779835	+	ENSMUSG00000025779	protein_coding	Ly96
chr1	16828429	16828847	-	ENSMUSG00000100093	processed_pseudogene	Gm29649
chr1	16838503	16840362	-	ENSMUSG00000091020	processed_pseudogene	Gm5828
chr1	16880184	16919453	+	ENSMUSG00000142287	lncRNA	ENSMUSG00000142287
chr1	16968409	17161855	+	ENSMUSG00000101640	lncRNA	Gm28376
chr1	17001194	17002020	+	ENSMUSG00000104133	TEC	4921511E07Rik
chr1	17034784	17168113	-	ENSMUSG00000042686	protein_coding	Jph1
chr1	17168206	17190722	+	ENSMUSG00000127806	lncRNA	ENSMUSG00000127806
chr1	17168769	17194859	-	ENSMUSG00000127769	lncRNA	ENSMUSG00000127769
chr1	17193217	17199753	+	ENSMUSG00000100110	lncRNA	Gm28783
chr1	17215586	17234495	+	ENSMUSG00000025777	protein_coding	Gdap1
chr1	17238623	17243333	+	ENSMUSG00000099899	lncRNA	Gm28784
chr1	17273099	17275983	+	ENSMUSG00000138285	lncRNA	ENSMUSG00000138285
chr1	17320338	17320716	-	ENSMUSG00000100272	processed_pseudogene	Gm28785
chr1	17408427	17465891	+	ENSMUSG00000137468	lncRNA	ENSMUSG00000137468
chr1	17464784	17484299	-	ENSMUSG00000137506	lncRNA	ENSMUSG00000137506
chr1	17465182	17465653	+	ENSMUSG00000100398	transcribed_processed_pseudogene	Gm5251
chr1	17467636	17470505	-	ENSMUSG00000101589	processed_pseudogene	Rbm6-ps1
chr1	17499267	17499752	-	ENSMUSG00000102048	processed_pseudogene	Gm6075
chr1	17590225	17590335	+	ENSMUSG00000089534	snoRNA	Gm25166
chr1	17672125	17701163	+	ENSMUSG00000067780	protein_coding	Pi15
chr1	17685308	17711305	-	ENSMUSG00000100053	lncRNA	Gm28154
chr1	17746251	17797870	-	ENSMUSG00000085125	lncRNA	Gm16070
chr1	17797269	17836568	+	ENSMUSG00000025776	protein_coding	Crispld1
chr1	17812139	17875641	-	ENSMUSG00000099895	lncRNA	Gm28153
chr1	17997026	18129280	-	ENSMUSG00000109887	lncRNA	Gm28756
chr1	18017265	18018663	+	ENSMUSG00000100554	processed_pseudogene	Gm7690
chr1	18063234	18069846	-	ENSMUSG00000099473	transcribed_unprocessed_pseudogene	Gm18775
chr1	18064037	18067707	+	ENSMUSG00000099591	processed_pseudogene	Gm17969
chr1	18076185	18086410	-	ENSMUSG00000102001	unprocessed_pseudogene	Gm28755
chr1	18118324	18128493	-	ENSMUSG00000101717	transcribed_unprocessed_pseudogene	Gm45784
chr1	18185415	18216126	-	ENSMUSG00000025774	protein_coding	Crisp4
chr1	18204225	18230517	+	ENSMUSG00000142595	lncRNA	ENSMUSG00000142595
chr1	18280277	18293788	-	ENSMUSG00000070977	transcribed_unprocessed_pseudogene	Defb44-ps
chr1	18292406	18293893	-	ENSMUSG00000131994	lncRNA	ENSMUSG00000131994
chr1	18306697	18307667	-	ENSMUSG00000073735	protein_coding	Defb18
chr1	18321204	18335362	-	ENSMUSG00000067773	protein_coding	Defb41
chr1	18332619	18333603	-	ENSMUSG00000101685	processed_pseudogene	Gm17837
chr1	18378048	18409942	+	ENSMUSG00000132263	lncRNA	ENSMUSG00000132263
chr1	18530615	18533598	-	ENSMUSG00000132383	lncRNA	ENSMUSG00000132383
chr1	18778652	18779560	+	ENSMUSG00000101306	processed_pseudogene	Gm5252
chr1	18782585	18785556	-	ENSMUSG00000134916	lncRNA	ENSMUSG00000134916
chr1	19039986	19040057	-	ENSMUSG00000088800	snoRNA	Gm24075
chr1	19107490	19107601	+	ENSMUSG00000101644	processed_pseudogene	Gm28343
chr1	19133081	19133359	+	ENSMUSG00000099433	processed_pseudogene	Gm28344
chr1	19133498	19175087	-	ENSMUSG00000089787	lncRNA	Gm15825
chr1	19173246	19236570	+	ENSMUSG00000042596	protein_coding	Tfap2d
chr1	19223646	19224190	-	ENSMUSG00000100720	processed_pseudogene	Gm10075
chr1	19279138	19308800	+	ENSMUSG00000025927	protein_coding	Tfap2b
chr1	19304989	19312318	-	ENSMUSG00000142982	lncRNA	ENSMUSG00000142982
chr1	19311134	19352220	+	ENSMUSG00000100538	lncRNA	Gm28340
chr1	19390450	19390921	-	ENSMUSG00000101117	processed_pseudogene	Gm28341
chr1	19401163	19403408	+	ENSMUSG00000100204	processed_pseudogene	Gm4849
chr1	19584079	19584143	-	ENSMUSG00002076883	snoRNA	Gm55451
chr1	19676274	19707336	+	ENSMUSG00000141106	lncRNA	ENSMUSG00000141106
chr1	19684493	19686991	+	ENSMUSG00000102597	TEC	Gm38382
chr1	19722061	19722888	-	ENSMUSG00000142065	lncRNA	ENSMUSG00000142065
chr1	20035199	20049770	+	ENSMUSG00000136536	lncRNA	ENSMUSG00000136536
chr1	20128003	20688288	-	ENSMUSG00000043760	protein_coding	Pkhd1
chr1	20132294	20135772	-	ENSMUSG00000104095	TEC	Gm37315
chr1	20426633	20462748	+	ENSMUSG00000089914	lncRNA	4930486I03Rik
chr1	20514482	20515034	-	ENSMUSG00000090142	processed_pseudogene	Gm15795
chr1	20515035	20515136	-	ENSMUSG00000070175	snRNA	Gm24162
chr1	20740106	20754522	+	ENSMUSG00000099906	lncRNA	Lincmd1
chr1	20749234	20749306	+	ENSMUSG00000065559	miRNA	Mir206
chr1	20752993	20753111	+	ENSMUSG00000065480	miRNA	Mir133b
