celltype_1,celltype_2,germ_layer_1,germ_layer_2,coupling_depth_A_E,coupling_depth_B_E,abs_difference_days,coupling_depth_both_E
Liver sinusoidal endothelial cells,Lymphatic vessel endothelial cells,Mesoderm,Mesoderm,11.75,11.75,0.0,11.75
Mast cells,Megakaryocytes,Blood,Blood,10.25,10.75,0.5,10.75
Mast cells,Microglia,Blood,Blood,9.0,9.25,0.25,9.25
Mast cells,Monocytes,Blood,Blood,8.5,8.75,0.25,8.75
Primitive erythroid cells,Mast cells,Blood,Blood,10.5,11.75,1.25,11.75
Megakaryocytes,Microglia,Blood,Blood,10.25,10.5,0.25,10.5
Megakaryocytes,Monocytes,Blood,Blood,9.5,9.5,0.0,9.5
Neural crest (PNS glia),Melanocyte cells,Neural crest,Neural crest,12.0,12.75,0.75,13.0
Metanephric mesenchyme,Nephron progenitors,Mesoderm,Mesoderm,9.0,9.0,0.0,9.0
Metanephric mesenchyme,Ureteric bud,Mesoderm,Mesoderm,12.5,12.75,0.25,12.75
Microglia,Monocytes,Blood,Blood,8.0,8.75,0.75,8.75
Primitive erythroid cells,Microglia,Blood,Blood,10.5,10.5,0.0,10.5
Midbrain,Midbrain-hindbrain boundary,Neuroectoderm,Neuroectoderm,12.75,13.25,0.5,13.25
Midgut/Hindgut epithelial cells,Pancreatic acinar cells,Endoderm,Endoderm,12.0,12.25,0.25,12.25
Muscle progenitor cells,Myoblasts,Mesoderm,Mesoderm,10.5,13.25,2.75,13.25
Myelinating Schwann cells,Myelinating Schwann cells (Tgfb2+),Neural crest,Neural crest,12.0,12.0,0.0,12.0
Neural crest (PNS glia),Myelinating Schwann cells,Neural crest,Neural crest,10.0,10.0,0.0,10.0
Neural crest (PNS neurons),Myelinating Schwann cells,Neural crest,Neural crest,11.0,10.75,0.25,11.0
Myelinating Schwann cells,Parasympathetic neurons,Neural crest,Neural crest,12.25,12.25,0.0,12.25
Myelinating Schwann cells,Sympathetic neurons,Neural crest,Neural crest,11.25,12.25,1.0,12.25
Myelinating Schwann cells (Tgfb2+),Parasympathetic neurons,Neural crest,Neural crest,9.25,9.25,0.0,9.25
Myoblasts,Myofibroblasts,Mesoderm,Mesoderm,10.25,9.75,0.5,10.25
Naive retinal progenitor cells,Retinal ganglion cells,Neuroectoderm,Neuroectoderm,9.5,9.75,0.25,9.75
Naive retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,10.0,10.5,0.5,10.5
Naive retinal progenitor cells,Retinal progenitor cells,Neuroectoderm,Neuroectoderm,9.0,9.25,0.25,9.25
Nephron progenitors,Ureteric bud,Mesoderm,Mesoderm,10.25,10.75,0.5,10.75
Neural crest (PNS glia),Neural crest (PNS neurons),Neural crest,Neural crest,9.5,9.75,0.25,9.75
Neural crest (PNS glia),Spinal cord/r7/r8,Neural crest,Neuroectoderm,13.0,13.0,0.0,13.0
Neural crest (PNS glia),Sympathetic neurons,Neural crest,Neural crest,12.0,12.75,0.75,12.75
Neural crest (PNS neurons),Spinal cord dorsal progenitors,Neural crest,Neuroectoderm,13.25,13.25,0.0,13.25
Neural crest (PNS neurons),Spinal cord/r7/r8,Neural crest,Neuroectoderm,13.0,13.0,0.0,13.0
Neural crest (PNS neurons),Sympathetic neurons,Neural crest,Neural crest,12.0,12.0,0.0,12.0
Neural progenitor cells (Neurod1+),Thalamic neuronal precursors,Neuroectoderm,Neuroectoderm,10.5,10.25,0.25,10.5
Olfactory epithelial cells,Olfactory bulb cells,Surface ectoderm,Neuroectoderm,9.5,9.25,0.25,9.5
Olfactory bulb cells,Olfactory sensory neurons,Neuroectoderm,Surface ectoderm,9.25,9.5,0.25,9.5
Olfactory epithelial cells,Olfactory sensory neurons,Surface ectoderm,Surface ectoderm,10.0,10.0,0.0,10.0
Otic epithelial cells,Otic sensory neurons,Surface ectoderm,Surface ectoderm,10.5,11.75,1.25,11.75
Posterior roof plate,Spinal cord/r7/r8,Neuroectoderm,Neuroectoderm,12.25,13.0,0.75,13.0
Pre-osteoblasts (Sp7+),Sclerotome,Mesoderm,Mesoderm,12.25,12.75,0.5,12.75
Retinal ganglion cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,8.5,10.5,2.0,10.5
Retinal progenitor cells,Retinal ganglion cells,Neuroectoderm,Neuroectoderm,8.25,9.0,0.75,9.0
Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,7.75,8.25,0.5,8.25
Spinal cord motor neurons,Spinal cord dorsal progenitors,Neuroectoderm,Neuroectoderm,12.75,13.0,0.25,13.0
Spinal cord/r7/r8,Spinal cord dorsal progenitors,Neuroectoderm,Neuroectoderm,9.75,10.25,0.5,10.25
Spinal cord/r7/r8,Spinal cord motor neurons,Neuroectoderm,Neuroectoderm,12.5,12.5,0.0,12.5
Spinal cord/r7/r8,Sympathetic neurons,Neuroectoderm,Neural crest,13.25,13.25,0.0,13.25
